v8-version,7,8,279,23,-node.57,0
code-creation,Builtin,3,2874,0x1394ae0,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2879,0x1394b20,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2883,0x1394b60,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2889,0x1394ba0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2893,0x1394c00,287,CallApiCallback
code-creation,Builtin,3,2898,0x1394d20,269,CallApiGetter
code-creation,Builtin,3,2902,0x1394e40,12,HandleApiCall
code-creation,Builtin,3,2906,0x1394e60,12,HandleApiCallAsFunction
code-creation,Builtin,3,2911,0x1394e80,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2916,0x1394ea0,92,AllocateInYoungGeneration
code-creation,Builtin,3,2920,0x1394f00,80,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2926,0x1394f60,92,AllocateInOldGeneration
code-creation,Builtin,3,2930,0x1394fc0,80,AllocateRegularInOldGeneration
code-creation,Builtin,3,2935,0x1395020,498,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2940,0x1395220,583,GrowFastDoubleElements
code-creation,Builtin,3,2944,0x1395480,478,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2949,0x1395660,453,NewArgumentsElements
code-creation,Builtin,3,2953,0x1395840,496,DebugBreakTrampoline
code-creation,Builtin,3,2958,0x1395a40,141,FrameDropperTrampoline
code-creation,Builtin,3,2962,0x1395ae0,45,HandleDebuggerStatement
code-creation,Builtin,3,2967,0x1395b20,282,ToObject
code-creation,Builtin,3,2972,0x1395c40,104,ToBoolean
code-creation,Builtin,3,2976,0x1395cc0,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2981,0x1395de0,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,2986,0x1395f00,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2990,0x1395fe0,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2995,0x13960c0,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,3000,0x13961a0,85,StringToNumber
code-creation,Builtin,3,3005,0x1396200,129,ToName
code-creation,Builtin,3,3009,0x13962a0,243,NonNumberToNumber
code-creation,Builtin,3,3013,0x13963a0,259,NonNumberToNumeric
code-creation,Builtin,3,3018,0x13964c0,235,ToNumber
code-creation,Builtin,3,3022,0x13965c0,272,ToNumberConvertBigInt
code-creation,Builtin,3,3027,0x13966e0,275,ToNumeric
code-creation,Builtin,3,3031,0x1396800,261,NumberToString
code-creation,Builtin,3,3035,0x1396920,466,ToInteger
code-creation,Builtin,3,3039,0x1396b00,478,ToInteger_TruncateMinusZero
code-creation,Builtin,3,3045,0x1396ce0,394,ToLength
code-creation,Builtin,3,3048,0x1396e80,140,Typeof
code-creation,Builtin,3,3053,0x1396f20,69,GetSuperConstructor
code-creation,Builtin,3,3063,0x1396f80,133,BigIntToI64
code-creation,Builtin,3,3068,0x1397020,12,BigIntToI32Pair
code-creation,Builtin,3,3072,0x1397040,285,I64ToBigInt
code-creation,Builtin,3,3077,0x1397160,12,I32PairToBigInt
code-creation,Builtin,3,3082,0x1397180,112,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,3087,0x1397200,2585,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,3092,0x1397c20,36,KeyedLoadIC_Slow
code-creation,Builtin,3,3097,0x1397c60,16522,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,3103,0x139bd00,40,KeyedStoreIC_Slow
code-creation,Builtin,3,3108,0x139bd40,40,LoadGlobalIC_Slow
code-creation,Builtin,3,3113,0x139bd80,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,3118,0x139bde0,36,LoadIC_Slow
code-creation,Builtin,3,3123,0x139be20,20,LoadIC_StringLength
code-creation,Builtin,3,3128,0x139be40,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,3133,0x139be60,2940,LoadIC_NoFeedback
code-creation,Builtin,3,3138,0x139c9e0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,3142,0x139ca20,6704,StoreIC_NoFeedback
code-creation,Builtin,3,3147,0x139e460,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,3152,0x139e4a0,368,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,3157,0x139e620,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,3162,0x139e680,40,StoreInterceptorIC
code-creation,Builtin,3,3168,0x139e6c0,536,KeyedStoreIC_SloppyArguments_Standard
